Quantify Compound Summary Report 												
												
Printed Tue Mar 26 11:36:13 2024												
												
Compound 1:  Sodium pyruvate m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.23	14.487		14.487	bb			4
2	2	XS1_240322_02_NC_C_A2		0								
8	8	XS1_240322_06_CA_C_B1		0	14.15	7.402		7.402	bb			5
20	20	XS1_240322_07_CA_C_B2		0	14.15	10.685		10.685	bb			4
36	36	XS1_240322_10_NC_F_7_C1		0	14.66	2.048		2.048	bb			2
29	29	XS1_240322_11_NC_F_7_C2		0	13.72	2.317		2.317	bb			5
27	27	XS1_240322_14_CA_F_7_D1		0	14.17	24.05		24.05	bb			6
35	35	XS1_240322_15_CA_F_7_D2		0	14.18	8.398		8.398	bb			6
22	22	XS1_240322_18_NC_F_15_E1		0	14.35	1.616		1.616	bb			2
28	28	XS1_240322_19_NC_F_15_E2		0	14.22	2.42		2.42	bb			3
34	34	XS1_240322_22_CA_F_15_F1		0	14.17	10.339		10.339	bb			4
32	32	XS1_240322_23_CA_F_15_F2		0	14.19	0.58		0.58	bb			2
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0	14.18	3.919		3.919	bb			3
5	5	XS1_240322_30_CA_h_30_h1		0	14.18	5.276		5.276	bb			5
9	9	XS1_240322_31_CA_h_30_h2		0	14.19	3.962		3.962	bb			4
12	12	XS1_240322_34_NC_F_45_I1		0	14.13	4.553		4.553	bb			3
11	11	XS1_240322_35_NC_F_45_I2		0	14.29	1.273		1.273	bb			2
3	3	XS1_240322_38_CA_J_45_J1		0	14.24	2.674		2.674	bb			4
7	7	XS1_240322_39_CA_J_45_J2		0	14.21	4.635		4.635	bb			4
33	33	XS1_240322_42_NC_K_60_K1		0								
14	14	XS1_240322_43_NC_K_60_K2		0								
21	21	XS1_240322_46_CA_F_60_L1		0								
6	6	XS1_240322_47_CA_F_60_L2		0	14.18	14.575		14.575	bb			6
